id	filename	md5	size	state
007e8e7e-82a1-42d7-8066-19343911f81c	007e8e7e-82a1-42d7-8066-19343911f81c/a653b973-7584-4c97-9a45-273cb0469116.wxs.aliquot_ensemble_masked.maf.gz	4d8b8353bb5f6a5b5056f5b83db2d589	11573	validated
0088029e-05f1-461c-a30a-2d6628a7f8d2	0088029e-05f1-461c-a30a-2d6628a7f8d2/34566acf-5f1f-4b7c-859a-5c7c2c38ed8e.wxs.aliquot_ensemble_masked.maf.gz	2e35064d854a63fd800d9a8f2445dfe7	56387	validated
00e9ce79-7226-4e2b-862a-8e6a77af1814	00e9ce79-7226-4e2b-862a-8e6a77af1814/ce99fbbd-2398-44b6-92ee-4976260db118.wxs.aliquot_ensemble_masked.maf.gz	c302b48a35b859a9594e63b9b6f0a466	454421	validated
00fdd1b4-a87d-4db4-90d3-4c73ff1c9c3e	00fdd1b4-a87d-4db4-90d3-4c73ff1c9c3e/c877f6d4-67e8-4460-a56d-d94a504be507.wxs.aliquot_ensemble_masked.maf.gz	2adb2944c02a4ce3a9485c116712a700	72326	validated
014ec1cf-fe21-47d0-ba76-7e38b0d24b7e	014ec1cf-fe21-47d0-ba76-7e38b0d24b7e/11393524-b491-4a40-8f94-da4620f28329.wxs.aliquot_ensemble_masked.maf.gz	d2ac2d826221007bbac71f7eef67ea4c	29395	validated
01f7c2ed-47de-413a-9cf5-b73589b7be01	01f7c2ed-47de-413a-9cf5-b73589b7be01/e61875bf-ae83-4e43-a5d2-f88a4d398bac.wxs.aliquot_ensemble_masked.maf.gz	bd2d36d9af0c8e74338597996d9ce7e8	17735	validated
02296d8e-2b57-4d28-b6f1-4bac1247eb2c	02296d8e-2b57-4d28-b6f1-4bac1247eb2c/05b74603-03d5-4c6d-bfdf-18f1a4d81bed.wxs.aliquot_ensemble_masked.maf.gz	53e04e9d8718a82e7365230ee8728a52	42238	validated
02814bea-e219-4191-8cff-5512604cc504	02814bea-e219-4191-8cff-5512604cc504/19fb3edd-d97d-4d59-9a4f-00a68d505219.wxs.aliquot_ensemble_masked.maf.gz	f95a3b039514683d9df78b48357fe8a0	95094	validated
02923d9d-8143-41c8-8379-bda8a08893cd	02923d9d-8143-41c8-8379-bda8a08893cd/54f29451-8ebf-44d5-befe-27ba7b7f9190.wxs.aliquot_ensemble_masked.maf.gz	f743f88d1f336cab6ccead80bb3506a0	26991	validated
0315edb0-d207-413b-b83d-99c6940a7fa5	0315edb0-d207-413b-b83d-99c6940a7fa5/5d85bed0-d32c-40de-9430-3fa041050e4d.wxs.aliquot_ensemble_masked.maf.gz	85fd06a9845ea2caddf13c3502adbf24	27415	validated
03a65553-aedf-4a9c-ba4e-265e2ffb9dd5	03a65553-aedf-4a9c-ba4e-265e2ffb9dd5/7bcd9af4-57da-4721-929c-4d41cf5ec475.wxs.aliquot_ensemble_masked.maf.gz	fbec013f0387e43561a4031f377a7497	28899	validated
048fdf6f-aa7f-431e-85ba-511770393d2c	048fdf6f-aa7f-431e-85ba-511770393d2c/c0beb184-a5ee-4c5e-a398-e3944778416b.wxs.aliquot_ensemble_masked.maf.gz	43ed6ccc4e5e15b968ef2ad60ccbc941	115080	validated
04e2e637-306d-4bdd-8431-54becade94e8	04e2e637-306d-4bdd-8431-54becade94e8/a216329b-4d7f-4f9a-bb97-34abb8ac44ec.wxs.aliquot_ensemble_masked.maf.gz	c9f5fafbc15f3a26fc9a1145e43539ba	26345	validated
